,name,icao,country
658,American Eagle Airlines,EGF,United States
659,Aeropuelche,PUE,Chile
660,Aeroput,PUT,Serbia
661,Azzurra Air,AZI,Italy
664,AD Aviation,VUE,United Kingdom
665,Aero Costa Taxi Aereo,XCT,Mexico
666,Aerovitro,VRO,Mexico
667,Aerotaxi Villa Rica,VRI,Mexico
668,Aerovega,VEG,Mexico
669,Aerovilla,VVG,Colombia
670,Aerolineas Villaverde,VLR,Mexico
671,Aero Air,WIL,United States
672,Aero Ejecutivos,VEJ,Venezuela
673,Aero Industries Inc,WAB,United States
674,Aero Servicios Vanguardia,VNG,Mexico
675,Aero Taxi Los Valles,VAD,Spain
676,Aero Vilamoura,VMR,Portugal
677,Aero Virel,VLS,Mexico
678,Aeronautical Radio Inc,XAA,United States
679,Aerovuelox,VUO,Mexico
680,Aeronaves TSM,VTM,Mexico
681,Air Ivoire,VUN,Ivory Coast
682,Air Botswana,BOT,Botswana
683,Air-Rep,XPR,United States
684,Air Excel,XLL,Tanzania
685,Air Evans,VAE,Spain
686,Air Sorel,WHY,Canada
687,Air Net Private Charter,WDR,United States
688,Air Executive Charter,XEC,Germany
689,Air Foyle,UPA,United Kingdom
690,Air Midwest,VTY,Nigeria
691,Air Tahiti,VTA,French Polynesia
692,Air Urga,URG,Ukraine
